"ID Tarefa";"Ordem de Controle";"Fase";"Prioridade";"Categoria";"Módulo";"Arquivos Afetados";"Título da Tarefa";"Descrição Detalhada";"Estimativa de Esforço";"Status"
"TASK-01";"1";"Fase 1: Correções Críticas de Segurança & Integridade";"Crítica";"Segurança";"users / auth";"src/modules/users/entities/users.entity.ts, src/modules/auth/auth.service.ts";"Ocultar hash de senha e proteger endpoint getProfile";"Adicionar @Exclude() na propriedade password da User entity. Alterar getProfile no AuthService para selecionar apenas campos seguros (id, name, email, role, companyId, isActive, createdAt) evitando vazamento do hash bcrypt na resposta HTTP.";"1h";"Pendente"
"TASK-02";"2";"Fase 1: Correções Críticas de Segurança & Integridade";"Crítica";"Segurança";"auth";"src/modules/auth/strategies/jwt.strategy.ts";"Remover fallback inseguro da JWT_SECRET";"Remover a string estática defaultSecret como fallback da JWT_SECRET. Lançar uma exceção explícita no construtor da JwtStrategy caso a variável de ambiente não esteja definida.";"0.5h";"Pendente"
"TASK-03";"3";"Fase 1: Correções Críticas de Segurança & Integridade";"Crítica";"Bug / Correção";"jobs / companies / candidates";"src/modules/jobs/jobs.controller.ts, src/modules/jobs/jobs.service.ts, src/modules/companies/companies.controller.ts";"Corrigir conversão de ID (+id) para UUID (string)";"Remover o operador unário +id nos parâmetros de rota @Param(""id""). Alterar o tipo de id para string com ParseUUIDPipe e atualizar a assinatura dos serviços correspondentes.";"1.5h";"Pendente"
"TASK-04";"4";"Fase 1: Correções Críticas de Segurança & Integridade";"Crítica";"Bug / Correção";"jobs";"src/modules/jobs/jobs.service.ts, src/modules/jobs/jobs.controller.ts";"Ajustar retorno de JobsService.create() e HTTP Exceptions";"Alterar o retorno de JobsService.create() para devolver a entidade Job criada ao invés da Promise void do RabbitMQ. Substituir throw new Error() genéricos por BadRequestException e InternalServerErrorException.";"1h";"Pendente"
"TASK-05";"5";"Fase 1: Correções Críticas de Segurança & Integridade";"Crítica";"Limpeza de Código";"shared";"src/shared/database/database.condig.ts";"Remover arquivo vazio database.condig.ts";"Deletar o arquivo database.condig.ts que está zerado (0 bytes) e possui erro de digitação no nome.";"0.1h";"Pendente"
"TASK-06";"6";"Fase 2: Validações, Swagger & Infraestrutura";"Alta";"Validação de Dados";"Todos os módulos (jobs, candidates, companies, etc.)";"src/modules/*/dto/*.dto.ts";"Adicionar validações (class-validator) em todos os DTOs";"Incluir decorators (@IsString(), @IsNotEmpty(), @IsNumber(), @IsEmail(), @IsArray(), @IsUUID(), @Min(), etc.) nos DTOs de entrada para acionar a validação do ValidationPipe global.";"3h";"Pendente"
"TASK-07";"7";"Fase 2: Validações, Swagger & Infraestrutura";"Alta";"Documentação";"Todos os módulos";"src/modules/*/*.controller.ts, src/modules/*/dto/*.dto.ts";"Enriquecer a documentação Swagger OpenAPI em /talent-api";"Decorar controllers com @ApiTags(), @ApiOperation(), @ApiResponse(), @ApiBearerAuth() e DTOs com @ApiProperty() para gerar a documentação interativa.";"3h";"Pendente"
"TASK-08";"8";"Fase 2: Validações, Swagger & Infraestrutura";"Alta";"Arquitetura / Infra";"shared";"src/shared/messaging/shared-messaging.module.ts";"Migrar SharedMessagingModule para forRootAsync";"Substituir a leitura direta de process.env.RABBITMQ_URL por RabbitMQModule.forRootAsync com injeção do ConfigService para aderir às boas práticas do NestJS.";"1h";"Pendente"
"TASK-09";"9";"Fase 2: Validações, Swagger & Infraestrutura";"Média";"Banco de Dados";"users";"src/modules/users/entities/users.entity.ts";"Tratar hashing de senha do TypeORM para operações de Update";"Verificar e tratar a atualização de senha para garantir que o hash seja gerado se a senha for alterada e prevenir re-hashing indevido de hashes já gerados.";"1h";"Pendente"
"TASK-10";"10";"Fase 3: Lógica de Negócio & Consumidores RabbitMQ";"Alta";"Mensageria";"hunter-engine";"src/modules/hunter-engine/hunter-engine.consumer.ts, hunter-engine.service.ts";"Implementar lógica do Consumidor HunterEngineConsumer";"Implementar a busca/garimpo de candidatos no handler handleJobAnalyzed ao receber o evento job.analyzed do RabbitMQ.";"4h";"Pendente"
"TASK-11";"11";"Fase 3: Lógica de Negócio & Consumidores RabbitMQ";"Alta";"Mensageria";"ai-analyzer / profile-enricher / matching / outreach";"src/modules/*/*.consumer.ts";"Criar consumidores RabbitMQ para as filas restantes";"Implementar as classes consumidoras decoradas com @RabbitSubscribe para as filas AI_JOB_ANALYZER (job.created), PROFILE_ENRICHER (candidate.raw.found), MATCHING (candidate.consolidated) e OUTREACH (matching.completed).";"6h";"Pendente"
"TASK-12";"12";"Fase 3: Lógica de Negócio & Consumidores RabbitMQ";"Alta";"Negócio / Persistência";"candidates / companies / matching / outreach / profile-enricher";"src/modules/*/*.service.ts, src/modules/*/*.controller.ts";"Substituir stubs de texto por repositórios TypeORM reais";"Implementar as operações CRUD reais com os repositórios do TypeORM em todos os serviços que atualmente retornam strings fixas. Descomentar e ativar endpoints no CompaniesController.";"8h";"Pendente"
"TASK-13";"13";"Fase 3: Lógica de Negócio & Consumidores RabbitMQ";"Média";"Testes";"Todos os módulos";"src/**/*.spec.ts, test/";"Atualizar e expandir testes unitários e E2E";"Atualizar os mocks nos arquivos .spec.ts para refletir o comportamento real dos repositórios, validações de DTOs e fluxos de mensageria.";"5h";"Pendente"
